,,,,,,Mean,SEM,Mean,SEM,Mean,SEM,Mean,SEM,Mean,SEM,Mean,SEM,Mean,SEM,Mean,SEM,Mean,SEM,Mean,SEM,Mean,SEM,Mean,SEM,Mean,SEM,Mean,SEM
Animal ID,Publication,Group (Normal uninfected control; ZIKV-infected),Sex (Female = 0; Male = 1),# of animals of that Sex,"Rearing (nursery, mother)",Hippocampus (mm3),Hippocampus (mm3),Amygdala (mm3),Amygdala (mm3),ICV (mm3),ICV (mm3),TBV (mm3),TBV (mm3),CSF (mm3),CSF (mm3),Lateral Ventricle (mm3),Lateral Ventricle (mm3),RT Temporal Auditory (mm3),RT Temporal Auditory (mm3),RT Temporal Visual (mm3),RT Temporal Visual (mm3),RT Temporal Limbic (mm3),RT Temporal Limbic (mm3),RT Occipital (mm3),RT Occipital (mm3),LT Temporal Auditory (mm3),LT Temporal Auditory (mm3),LT Temporal Visual (mm3),LT Temporal Visual (mm3),LT Temporal Limbic (mm3),LT Temporal Limbic (mm3),LT Occipital (mm3),LT Occipital (mm3)
RFn20,ACE2 data from Sanchez lab,Normal,1,,mother,443.604,,381.785,,94103.581,,81699.89,,12149.1,,261.2743,,2762.682,,4942.22,,1117.276,,7287.13,,2853.457,,5053.74,,1044.565,,7098.07,
RQh21,ACE2 data from Sanchez lab,Normal,1,,mother,453.904,,403.958,,95857.488,,84575.41,,11073.1,,338.89,,2576.119,,4842.1,,1070.845,,8237.44,,2751.825,,4728.58,,1004.183,,8145.15,
RSn21,ACE2 data from Sanchez lab,Normal,1,,mother,462.119,,421.431,,85760.189,,73064.07,,12439.3,,301.717,,2203.858,,4402.28,,1062.651,,6410.07,,2337.92,,4372.752,,1025.825,,6502.9,
RBs21,ACE2 data from Sanchez lab,Normal,1,,mother,448.59,,404.837,,86293.771,,74597.96,,11520,,154.4551,,2285.808,,4332.84,,1126.656,,7154.9,,2377.547,,4267.199,,1011.111,,7221.3,
RHv21,ACE2 data from Sanchez lab,Normal,1,,mother,361.594,,361.574,,77671.027,,67331.5,,10138.6,,163.6513,,2270.025,,3686.71,,890.621,,5746.43,,2362.276,,3707.213,,841.9829,,5751.28,
RRg22,ACE2 data from Sanchez lab,Normal,1,,mother,442.235,,380.273,,85930.963,,72556.93,,13138.1,,233.91,,2366.323,,4338.48,,996.765,,6438.11,,2445.348,,4344.366,,925.341,,6331.79,
RBF13,EESND data from Sanchez lab,Normal,0,,mother,427.889,,396.642,,70403.755,,62097.1,,7295.93,,,,2231.737,,3624.857,,1155.671,,5525.4,,2284.029,,4239.65,,1266.238,,5398.68,
RBO14,EESND data from Sanchez lab,Normal,1,,mother,469.23,,368.359,,80019.87,,67848.6,,10968.1,,,,2350.202,,3666.967,,1045.158,,5768.32,,2301.966,,4278.6,,1210.729,,5679.4,
RCH13,EESND data from Sanchez lab,Normal,0,,mother,368.666,,352.52,,69618.308,,60334.4,,8138.47,,,,2413.351,,4157.432,,1169.187,,5578.27,,2776.473,,4564.13,,1255.203,,5554.11,
RCT15,EESND data from Sanchez lab,Normal,0,,mother,349.701,,348.065,,81569.432,,71918.6,,8391.83,,,,2495.297,,4233.81,,1108.918,,7374.8,,2877.321,,4483.24,,1120.607,,7355.7,
RDF13,EESND data from Sanchez lab,Normal,1,,mother,470.048,,391.144,,91373.969,,79866.4,,10139.3,,,,2051.284,,3628.837,,1135.77,,7878.4,,2321.119,,4160.751,,1149.319,,7873.88,
RDF15,EESND data from Sanchez lab,Normal,1,,mother,425.089,,389.918,,85294.231,,73122.3,,10906.7,,,,2113.637,,3617.063,,1069.089,,7404.18,,2413.345,,4135.326,,1057.317,,7065.78,
RDW13,EESND data from Sanchez lab,Normal,1,,mother,548.706,,431.935,,79265.074,,67729.3,,10122.5,,,,2374.562,,4042.384,,1006.247,,5403.56,,2239.922,,3938.074,,1116.97,,5443.35,
REW13,EESND data from Sanchez lab,Normal,1,,mother,390.266,,361.941,,87044.898,,73307.8,,12369.4,,,,2443.493,,4081.458,,961.534,,7093.01,,2246.544,,3876.091,,1051.37,,6952.73,
RFO14,EESND data from Sanchez lab,Normal,1,,mother,440.13,,316.329,,82647.092,,72298.9,,9117.47,,,,2528.359,,4924.68,,1304.168,,6959.97,,2202.056,,3572.743,,1103.645,,6957.63,
RFV13,EESND data from Sanchez lab,Normal,1,,mother,342.793,,337.745,,75493.404,,64837.3,,9454.61,,,,2621.918,,4769.04,,1238.829,,6216.03,,2201.523,,3661.703,,1045.566,,6131.1,
RHM13,EESND data from Sanchez lab,Normal,1,,mother,448.448,,388.692,,93885.281,,82061.6,,10433.6,,,,2460.105,,4283.36,,1191.503,,7104.79,,1678.469,,3059.793,,985.975,,7174.46,
RIM13,EESND data from Sanchez lab,Normal,0,,mother,449.142,,355.137,,72335.621,,64778.8,,6481.54,,,,2468.156,,4384.577,,1114.701,,6701.96,,1697.783,,3015.796,,936.458,,6581.72,
RJE13,EESND data from Sanchez lab,Normal,0,,mother,417.058,,345.634,,78861.167,,70491.3,,7034.33,,,,2364.665,,4136.957,,1325.622,,6501.01,,1860.476,,3127.13,,868.795,,6647.66,
RKR14,EESND data from Sanchez lab,Normal,1,,mother,458.298,,368.624,,79822.472,,70312.5,,8290.78,,,,2356.695,,4037.172,,1196.306,,6090.56,,1909.907,,3093.701,,857.5146,,5968.62,
RME14,EESND data from Sanchez lab,Normal,1,,mother,450.941,,380.763,,88578.149,,79700.7,,7556.16,,,,2402.7,,4297.54,,1193.79,,7949.52,,2414.821,,4441.68,,1130.273,,7845.32,
RNC14,EESND data from Sanchez lab,Normal,0,,mother,409.292,,342.752,,76515.759,,65540.1,,9738.3,,256.389,,2478.39,,4269.67,,1115.089,,6480.52,,2493.215,,4329.75,,1094.02,,6490.4,
RNE14,EESND data from Sanchez lab,Normal,1,,mother,419.509,,377.657,,81096.645,,67209.7,,12552.6,,,,2487.88,,4577.34,,1137.102,,5810.89,,2203.268,,4185.023,,1111.084,,5836.09,
RNN14,EESND data from Sanchez lab,Normal,1,,mother,381.969,,348.985,,63514.411,,56126.8,,6234.12,,,,2474.364,,4488.788,,1013.87,,4616.7,,2244.766,,4027.467,,1077.65,,4563.7,
RNT14,EESND data from Sanchez lab,Normal,1,,mother,435.634,,348.454,,81652.341,,71710.8,,8699.05,,,,2170.932,,3690.273,,1050.777,,6149.17,,2386.475,,4625.23,,1274.822,,5844.73,
RON14,EESND data from Sanchez lab,Normal,0,,mother,430.872,,386.567,,82187.145,,69505.7,,11467.4,,331.86,,2306.956,,3718.392,,1030.28,,6891.79,,2422.806,,4488.86,,1185.328,,6692.31,
RPH15,EESND data from Sanchez lab,Normal,1,,mother,482.432,,396.519,,86185.909,,76662.6,,8123.14,,,,2891.346,,4871.81,,1335.162,,7476.86,,2456.159,,4268.08,,1280.952,,7295.07,
RPV13,EESND data from Sanchez lab,Normal,1,,mother,445.77,,373.591,,78957.417,,69334.6,,8331.98,,,,2988.084,,4890.17,,1262.245,,6349.04,,2520.267,,4189.985,,1201.33,,6077.37,
